Sample,totalMOTU,Method,,
BF011.R2,352,Deblur,,
BF015,225,Deblur,,
BNK.01,198,Deblur,,
BNK.02,361,Deblur,,
BNK.03,185,Deblur,,
BNK.04,233,Deblur,,
BNK.05,433,Deblur,,
BNK.06,149,Deblur,,
BNK.07,257,Deblur,,
BPT.01,132,Deblur,,
BPT.02,282,Deblur,,
BPT.03,230,Deblur,,
BPT.04,391,Deblur,,
BPT.05,298,Deblur,,
CPY.02,302,Deblur,,
CPY.03,214,Deblur,,
DF002.R1,193,Deblur,,
DF002.R2,434,Deblur,,
DF006.R1,138,Deblur,,
DF006.R2,157,Deblur,,
DF007.R2,48,Deblur,,
DOL.01,139,Deblur,,
DOL.03,314,Deblur,,
DOL.04,226,Deblur,,
DOL.05,89,Deblur,,
DWT.10.R1,2,Deblur,,
DWT.10.R2,129,Deblur,,
ESC.03,165,Deblur,,
ESC.04,180,Deblur,,
FRK.01,227,Deblur,,
FRK.02,138,Deblur,,
FRK.03,138,Deblur,,
FRK.04,36,Deblur,,
FRK.05,235,Deblur,,
FRK.06,82,Deblur,,
FRK.07,144,Deblur,,
GRY.02.R1,201,Deblur,,
GRY.02.R2,154,Deblur,,
GRY.04.R1,163,Deblur,,
GRY.04.R2,139,Deblur,,
GRY.06.R1,222,Deblur,,
GRY.06.R2,498,Deblur,,
HC010.R2,83,Deblur,,
HC020,31,Deblur,,
HC028,29,Deblur,,
HC030,110,Deblur,,
HN015.R2,4,Deblur,,
HN016,96,Deblur,,
HN025,112,Deblur,,
HN029.R2,67,Deblur,,
HS001,54,Deblur,,
HS009,144,Deblur,,
HS011,154,Deblur,,
KF003.R2,124,Deblur,,
KF011.R1,187,Deblur,,
KF011.R2,90,Deblur,,
KF015.R2,41,Deblur,,
KF023.R1,303,Deblur,,
KF023.R2,320,Deblur,,
KUG.01,462,Deblur,,
KUG.02,456,Deblur,,
KUG.03,346,Deblur,,
KUG.04,328,Deblur,,
KUG.05,441,Deblur,,
MNT.03,66,Deblur,,
MNT.04,321,Deblur,,
MNT.05,276,Deblur,,
NTC.01,364,Deblur,,
PWS.01,126,Deblur,,
SF007.R1,329,Deblur,,
SF007.R2,40,Deblur,,
SF009.R1,269,Deblur,,
SF009.R2,342,Deblur,,
SF020,22,Deblur,,
SMO.01,339,Deblur,,
TBS.04.R1,226,Deblur,,
TBS.04.R2,242,Deblur,,
TBS.100,513,Deblur,,
TBS.200,227,Deblur,,
TBS.350,209,Deblur,,
TBS.50,438,Deblur,,
TF003.R1,322,Deblur,,
WIS.01,275,Deblur,,
WLK.01,23,Deblur,,
WLK.02,81,Deblur,,
WLK.03,13,Deblur,,
