Sample,totalMOTU,Method
MEMB.nem.285,8,DADA2
MEMB.nem.286,6,DADA2
MEMB.nem.287,7,DADA2
MEMB.nem.288,9,DADA2
MEMB.nem.290,10,DADA2
MEMB.nem.291,7,DADA2
MEMB.nem.18,3,Deblur
MEMB.nem.19,1,Deblur
MEMB.nem.21,3,Deblur
MEMB.nem.22,44,Deblur
MEMB.nem.23,39,Deblur
MEMB.nem.25,1,Deblur
MEMB.nem.26,1,Deblur
MEMB.nem.27,1,Deblur
MEMB.nem.28,11,Deblur
MEMB.nem.30,6,Deblur
MEMB.nem.31,9,Deblur
MEMB.nem.32,4,Deblur
MEMB.nem.33,3,Deblur
MEMB.nem.35,4,Deblur
MEMB.nem.37,13,Deblur
MEMB.nem.39,3,Deblur
MEMB.nem.40,7,Deblur
MEMB.nem.41,4,Deblur
MEMB.nem.43,16,Deblur
MEMB.nem.44,14,Deblur
MEMB.nem.45,11,Deblur
MEMB.nem.46,3,Deblur
MEMB.nem.47,3,Deblur
MEMB.nem.48,5,Deblur
MEMB.nem.49,8,Deblur
MEMB.nem.50,5,Deblur
MEMB.nem.51,3,Deblur
MEMB.nem.52,4,Deblur
MEMB.nem.54,11,Deblur
MEMB.nem.55,4,Deblur
MEMB.nem.64,16,Deblur
MEMB.nem.65,3,Deblur
MEMB.nem.66,3,Deblur
MEMB.nem.67,1,Deblur
MEMB.nem.68,2,Deblur
MEMB.nem.69,3,Deblur
MEMB.nem.70,5,Deblur
MEMB.nem.72,2,Deblur
MEMB.nem.73,2,Deblur
MEMB.nem.74,5,Deblur
MEMB.nem.75,7,Deblur
MEMB.nem.76,2,Deblur
MEMB.nem.78,1,Deblur
MEMB.nem.79,2,Deblur
MEMB.nem.81,4,Deblur
MEMB.nem.84,3,Deblur
MEMB.nem.85,5,Deblur
MEMB.nem.86,4,Deblur
MEMB.nem.87,9,Deblur
MEMB.nem.88,3,Deblur
MEMB.nem.91,1,Deblur
MEMB.nem.94,8,Deblur
MEMB.nem.97,4,Deblur
MEMB.nem.103,7,Deblur
MEMB.nem.136,6,Deblur
MEMB.nem.142,3,Deblur
MEMB.nem.143,2,Deblur
MEMB.nem.144,2,Deblur
MEMB.nem.145,2,Deblur
MEMB.nem.146,1,Deblur
MEMB.nem.149,1,Deblur
MEMB.nem.151,3,Deblur
MEMB.nem.152,3,Deblur
MEMB.nem.154,8,Deblur
MEMB.nem.155,1,Deblur
MEMB.nem.157,0,Deblur
MEMB.nem.159,3,Deblur
MEMB.nem.160,0,Deblur
MEMB.nem.163,2,Deblur
MEMB.nem.164,1,Deblur
MEMB.nem.165,2,Deblur
MEMB.nem.166,6,Deblur
MEMB.nem.169,2,Deblur
MEMB.nem.172,0,Deblur
MEMB.nem.174,2,Deblur
MEMB.nem.175,2,Deblur
MEMB.nem.178,5,Deblur
MEMB.nem.187,4,Deblur
MEMB.nem.189,4,Deblur
MEMB.nem.191,6,Deblur
MEMB.nem.192,6,Deblur
MEMB.nem.193,1,Deblur
MEMB.nem.194,1,Deblur
MEMB.nem.195,2,Deblur
MEMB.nem.196,2,Deblur
MEMB.nem.200,4,Deblur
MEMB.nem.201,6,Deblur
MEMB.nem.206,1,Deblur
MEMB.nem.208,3,Deblur
MEMB.nem.212,5,Deblur
MEMB.nem.215,0,Deblur
MEMB.nem.217,3,Deblur
MEMB.nem.219,4,Deblur
MEMB.nem.220,5,Deblur
MEMB.nem.221,6,Deblur
MEMB.nem.222,2,Deblur
MEMB.nem.224,4,Deblur
MEMB.nem.225,3,Deblur
MEMB.nem.228,3,Deblur
MEMB.nem.229,1,Deblur
MEMB.nem.232,6,Deblur
MEMB.nem.233,1,Deblur
MEMB.nem.234,1,Deblur
MEMB.nem.237,0,Deblur
MEMB.nem.238,1,Deblur
MEMB.nem.239,6,Deblur
MEMB.nem.240,0,Deblur
MEMB.nem.243,2,Deblur
MEMB.nem.244,1,Deblur
MEMB.nem.245,1,Deblur
MEMB.nem.246,0,Deblur
MEMB.nem.247,7,Deblur
MEMB.nem.249,4,Deblur
MEMB.nem.254,8,Deblur
MEMB.nem.256,4,Deblur
MEMB.nem.257,5,Deblur
MEMB.nem.258,3,Deblur
MEMB.nem.264,2,Deblur
MEMB.nem.265,1,Deblur
MEMB.nem.267,1,Deblur
MEMB.nem.271,1,Deblur
MEMB.nem.273,3,Deblur
MEMB.nem.277,2,Deblur
MEMB.nem.279,5,Deblur
MEMB.nem.280,1,Deblur
MEMB.nem.282,2,Deblur
MEMB.nem.283,3,Deblur
MEMB.nem.285,2,Deblur
MEMB.nem.286,1,Deblur
MEMB.nem.287,3,Deblur
MEMB.nem.288,4,Deblur
MEMB.nem.290,2,Deblur
MEMB.nem.291,4,Deblur
